"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","133.59","133.02","133.90","132.91","0.44"
"Aug 11, 2022","133.00","132.90","133.32","131.73","0.10"
"Aug 10, 2022","132.87","135.15","135.31","132.02","-1.67"
"Aug 09, 2022","135.13","135.01","135.22","134.66","0.10"
"Aug 08, 2022","135.00","135.01","135.59","134.35","0.02"
"Aug 05, 2022","134.97","132.87","135.51","132.51","1.60"
"Aug 04, 2022","132.85","133.85","134.43","132.76","-0.75"
"Aug 03, 2022","133.86","133.17","134.55","132.28","0.53"
"Aug 02, 2022","133.16","131.62","133.19","130.40","1.18"
"Aug 01, 2022","131.61","133.23","133.57","131.60","-1.19"
"Jul 29, 2022","133.19","134.27","134.68","132.51","-0.81"
"Jul 28, 2022","134.28","136.57","136.60","134.20","-1.66"
"Jul 27, 2022","136.55","136.93","137.48","136.32","-0.26"
"Jul 26, 2022","136.91","136.70","136.98","136.27","0.18"
"Jul 25, 2022","136.66","136.07","136.80","135.89","0.44"
"Jul 22, 2022","136.07","137.38","137.97","135.57","-0.95"
"Jul 21, 2022","137.37","138.24","138.89","137.29","-0.60"
"Jul 20, 2022","138.20","138.18","138.38","137.90","0.01"
"Jul 19, 2022","138.18","138.13","138.40","137.38","0.04"
"Jul 18, 2022","138.12","138.54","138.59","137.89","-0.30"
"Jul 15, 2022","138.53","138.96","139.13","138.39","-0.27"
"Jul 14, 2022","138.90","137.43","139.40","137.33","1.08"
"Jul 13, 2022","137.42","136.88","137.88","136.68","0.41"
"Jul 12, 2022","136.86","137.44","137.54","136.48","-0.41"
"Jul 11, 2022","137.42","136.02","137.76","135.99","0.98"
"Jul 08, 2022","136.08","136.02","136.58","135.33","0.07"
"Jul 07, 2022","135.98","135.96","136.24","135.54","0.04"
"Jul 06, 2022","135.93","135.88","136.01","134.95","0.04"
"Jul 05, 2022","135.87","135.71","136.38","135.52","0.13"
"Jul 04, 2022","135.69","135.32","135.79","134.78","0.37"
"Jul 01, 2022","135.19","135.73","135.99","134.74","-0.40"
"Jun 30, 2022","135.73","136.59","136.82","135.55","-0.62"
"Jun 29, 2022","136.58","136.13","137.01","135.79","0.34"
"Jun 28, 2022","136.12","135.46","136.40","135.11","0.51"
"Jun 27, 2022","135.43","135.12","135.56","134.51","0.18"
"Jun 24, 2022","135.18","134.95","135.41","134.35","0.19"
