Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,430.721008,427.515015,436.246033,434.334045,434.334045,3627890000
2016-01-04,430.061005,429.084045,434.516998,433.091003,433.091003,3847750000
2016-01-05,433.069000,429.675995,434.181976,431.959991,431.959991,3452260000
2016-01-06,431.855988,426.341003,431.855988,429.105011,429.105011,3404250000
2016-01-07,430.010986,429.076996,458.765991,458.048004,458.048004,8756220000
2016-01-08,457.537994,447.937988,462.933990,453.230042,453.230042,5699300000
2016-01-11,448.697998,443.854980,450.661987,448.428009,448.428009,4045000000
2016-01-12,448.182007,435.690033,448.182007,435.690033,435.690033,11560700000
2016-01-13,434.664978,424.442963,435.186005,432.371002,432.371002,17388800000
2016-01-14,432.287964,427.845001,433.324036,430.306000,430.306000,4394550000
2016-01-15,430.255005,364.330994,430.255005,364.330994,364.330994,15335100800
2016-01-18,381.733002,376.665009,388.104004,387.167999,387.167999,5440390000
2016-01-19,387.026001,378.971985,387.729980,380.148987,380.148987,4681980000
2016-01-20,379.739990,376.598999,425.266968,420.230042,420.230042,12172000000
2016-01-21,419.631989,406.300018,422.877014,410.261993,410.261993,6833800000
2016-01-22,409.751007,375.282013,410.410004,382.492004,382.492004,9154660000
2016-01-25,402.316986,388.553986,402.316986,391.726013,391.726013,5906240000
2016-01-26,392.002014,390.575043,397.765991,392.153015,392.153015,5814700000
2016-01-27,392.444000,391.782043,396.842987,394.971985,394.971985,4742440000
2016-01-28,395.145966,379.735016,395.502014,380.289001,380.289001,5924790000
2016-01-29,380.108002,365.451996,384.378967,379.473999,379.473999,8612529600
2016-02-01,369.350006,367.957001,378.071991,373.056000,373.056000,5165670000
2016-02-02,372.920013,372.920013,375.882996,374.447998,374.447998,4037870000
2016-02-03,374.645996,368.044983,374.950012,369.949005,369.949005,4593340000
2016-02-04,370.174011,369.993011,391.608002,389.593994,389.593994,6928550400
2016-02-05,388.898010,385.571991,391.093994,386.549011,386.549011,4382500000
2016-02-08,376.756989,373.334015,379.878998,373.446991,373.446991,4767110000
2016-02-09,373.423004,372.898010,377.246002,376.028992,376.028992,5531850000
2016-02-10,376.145996,375.782990,385.483002,381.648987,381.648987,8513089600
